,1,2,3,4,5,6
77,Touchdesigner NYC Meetup - IO edition,"Group name:
ZeroSpace XR/AR/VR Meetups • Brooklyn, NY","SAT, MAY 21 · 12:00 AM UTC+2",52 attendees,No place left,https://www.meetup.com/zerospace-meetups/events/285871847
78,Irish Music & Happy Hour,"Group name:
The New York Irish Pub Challenge Meetup • New York, NY","SAT, MAY 21 · 12:00 AM UTC+2",21 attendees,No place left,https://www.meetup.com/The-New-York-Irish-Pub-Challenge-Meetup/events/285629048
79,Friday happy hour - French conversation practice !,"Group name:
Gay French language practice • New York, NY","SAT, MAY 21 · 12:00 AM UTC+2",14 attendees,No place left,https://www.meetup.com/gay-french-language-practice/events/285874661
80,"INFP, Introverts, Shy and International Friends Hang out and Chat","Group name:
Brooklyn INFP, Introverts Meetup Group • Brooklyn, NY","SAT, MAY 21 · 1:00 AM UTC+2",25 attendees,No place left,https://www.meetup.com/brooklyn-infp-meetup-group/events/285683313
81,The Juggling Moms Club - Meet and Greet,"Group name:
The Juggling Moms Club Meetup Group • Woodbridge, NJ","SAT, MAY 21 · 1:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/the-juggling-moms-club-meetup-group/events/285768776
82,Meet and Greet - Introductions and Q&A,"Group name:
Math Pedagogy Group (Teachers, Tutors, and Math enthusiasts) • Bronx, NY","SAT, MAY 21 · 1:30 AM UTC+2",5 attendees,No place left,https://www.meetup.com/math-pedagogy-group-teachers-tutors-and-more/events/285809014
83,New York Dodgeball Pick up (in Chelsea!),"Group name:
New York Dodgeball • New York, NY","SAT, MAY 21 · 2:00 AM UTC+2",10 attendees,No place left,https://www.meetup.com/new-york-dodgeball/events/285363294
84,NYRR 2022 RBC Brooklyn Half,"Group name:
Dashing Whippets Running Team • New York, NY","SAT, MAY 21 · 1:00 PM UTC+2",58 attendees,No place left,https://www.meetup.com/dashing-whippets/events/282528678
85,Surf City - Opening Weekend - Ride out,"Group name:
NYC Pirates • Bronx, NY","SAT, MAY 21 · 2:00 PM UTC+2",13 attendees,No place left,https://www.meetup.com/NYC-Pirates/events/285439517
86,Second Saturday - Divorce Seminar,"Group name:
Second Saturday Divorce Seminar - Montclair • Montclair, NJ","SAT, MAY 21 · 3:00 PM UTC+2",66 attendees,No place left,https://www.meetup.com/second-saturday-divorce-seminar-montclair/events/284079586
87,Kathak - Kathak dancing by Radhika,"Group name:
Free Dance and Drama • Jersey City, NJ","SAT, MAY 21 · 3:00 PM UTC+2",8 attendees,No place left,https://www.meetup.com/indian-dance-and-drama/events/285768483
88,BFC Saturday May 14th game 10:45 am TBC,"Group name:
Brooklyn Football Club • Brooklyn, NY","SAT, MAY 21 · 4:45 PM UTC+2",8 attendees,6 spots left,https://www.meetup.com/meetup-group-sceopdbn/events/285932484
89,NYC Dance Parade!,"Group name:
NYC Hoop Troupe • New York, NY","SAT, MAY 21 · 5:00 PM UTC+2",18 attendees,No place left,https://www.meetup.com/nychooptroupe/events/284525743
90,NYC Photographers' Belated Anniversary: Central Park,"Group name:
NYC Photographers • New York, NY","SAT, MAY 21 · 5:00 PM UTC+2",48 attendees,No place left,https://www.meetup.com/NYC-Photographers/events/285530792
91,Yoga and Picnic in Central Park,"Group name:
Urban Nomad Outdoor Yoga in New York City's Parks • New York, NY","SAT, MAY 21 · 5:45 PM UTC+2",10 attendees,No place left,https://www.meetup.com/new-york-outdoor-yoga-meetup-group/events/285632389
92,PODWORK-The Podcast Network Conference,"Group name:
Podcasters of NewJersey • West Orange, NJ","SAT, MAY 21 · 6:00 PM UTC+2",13 attendees,No place left,https://www.meetup.com/Podcasters-of-NewJersey/events/284869303
93,Hometown Bar B Que. Let's Get Back to Normal....,"Group name:
3 Brown Chicks who Travel! • New York, NY","SAT, MAY 21 · 6:00 PM UTC+2",16 attendees,No place left,https://www.meetup.com/3-Brown-Chicks-who-TRAVEL/events/284790236
